date,region,day_of_week,month,weekend_flag,holiday_flag,avg_temperature,precipitation,wind_speed,visibility,trauma_index,hospital_transfer_volume,rurality_index,daily_transport_requests
2022-01-01,Mountain West,5,1,1,1,57.98,0.12,13.24,11.05,4.65,26,0.85,33
2022-01-01,Midwest,5,1,1,1,57.18,0.29,7.68,7.07,5.36,22,0.65,28
2022-01-01,Southeast,5,1,1,1,71.92,0.23,5.46,5.18,7.2,18,0.55,32
2022-01-01,Northeast,5,1,1,1,54.73,0.18,4.25,8.75,4.1,23,0.35,29
2022-01-01,Southwest,5,1,1,1,84.92,0.0,14.11,5.56,5.31,25,0.75,30
2022-01-02,Mountain West,6,1,1,0,59.43,0.19,9.42,7.4,2.78,30,0.85,27
2022-01-02,Midwest,6,1,1,0,62.06,0.0,11.62,7.23,3.98,26,0.65,29
2022-01-02,Southeast,6,1,1,0,72.96,0.07,11.66,9.95,4.28,20,0.55,25
2022-01-02,Northeast,6,1,1,0,62.88,0.49,9.64,10.01,5.54,25,0.35,26
2022-01-02,Southwest,6,1,1,0,84.79,0.54,0.0,9.64,5.13,21,0.75,26
2022-01-03,Mountain West,0,1,0,0,53.68,0.24,17.39,6.96,3.79,34,0.85,28
2022-01-03,Midwest,0,1,0,0,65.49,0.23,7.35,9.03,5.15,20,0.65,27
2022-01-03,Southeast,0,1,0,0,75.65,0.0,11.48,8.52,5.01,21,0.55,25
2022-01-03,Northeast,0,1,0,0,55.94,0.0,9.19,8.81,7.83,33,0.35,32
2022-01-03,Southwest,0,1,0,0,73.49,0.14,10.3,12.93,4.71,18,0.75,25
2022-01-04,Mountain West,1,1,0,0,61.86,0.34,13.96,6.18,7.1,27,0.85,28
2022-01-04,Midwest,1,1,0,0,54.06,0.01,10.5,6.99,2.67,25,0.65,24
2022-01-04,Southeast,1,1,0,0,72.48,0.54,6.08,7.36,6.22,27,0.55,25
2022-01-04,Northeast,1,1,0,0,48.36,0.2,11.3,9.56,3.14,27,0.35,21
2022-01-04,Southwest,1,1,0,0,80.92,0.21,11.47,6.57,7.8,26,0.75,32
2022-01-05,Mountain West,2,1,0,0,49.15,0.35,15.79,6.36,6.45,27,0.85,30
2022-01-05,Midwest,2,1,0,0,58.53,0.0,5.55,6.37,4.88,30,0.65,29
2022-01-05,Southeast,2,1,0,0,78.08,0.51,8.68,13.44,5.94,19,0.55,23
2022-01-05,Northeast,2,1,0,0,51.57,0.27,8.88,9.43,5.71,18,0.35,23
2022-01-05,Southwest,2,1,0,0,82.32,0.36,11.07,5.51,5.26,25,0.75,28
2022-01-06,Mountain West,3,1,0,0,55.35,0.0,11.79,9.12,6.62,23,0.85,31
2022-01-06,Midwest,3,1,0,0,63.09,0.28,12.58,15.71,5.86,26,0.65,30
2022-01-06,Southeast,3,1,0,0,76.11,0.34,6.14,7.53,4.27,22,0.55,24
2022-01-06,Northeast,3,1,0,0,62.12,0.0,7.64,10.18,5.1,25,0.35,23
2022-01-06,Southwest,3,1,0,0,80.62,0.2,10.23,6.7,8.22,24,0.75,32
2022-01-07,Mountain West,4,1,0,0,51.03,0.36,6.04,7.77,5.76,23,0.85,29
2022-01-07,Midwest,4,1,0,0,57.15,0.0,18.83,8.81,3.11,34,0.65,29
2022-01-07,Southeast,4,1,0,0,90.73,0.41,2.4,7.03,6.9,11,0.55,21
2022-01-07,Northeast,4,1,0,0,60.66,0.34,5.37,7.88,0.14,16,0.35,14
2022-01-07,Southwest,4,1,0,0,94.79,0.0,7.8,8.26,7.16,24,0.75,27
2022-01-08,Mountain West,5,1,1,0,49.11,0.27,11.0,6.8,5.1,35,0.85,32
2022-01-08,Midwest,5,1,1,0,69.52,0.0,20.67,4.1,4.77,18,0.65,26
2022-01-08,Southeast,5,1,1,0,79.69,0.0,8.96,7.01,4.12,16,0.55,26
2022-01-08,Northeast,5,1,1,0,63.4,0.23,14.06,9.26,3.76,24,0.35,24
2022-01-08,Southwest,5,1,1,0,84.87,0.18,16.39,6.82,5.82,30,0.75,31
2022-01-09,Mountain West,6,1,1,0,59.95,0.35,16.53,8.04,6.02,23,0.85,29
2022-01-09,Midwest,6,1,1,0,61.94,0.12,10.48,9.19,3.77,20,0.65,30
2022-01-09,Southeast,6,1,1,0,84.95,0.35,13.12,9.26,4.98,13,0.55,22
2022-01-09,Northeast,6,1,1,0,63.85,0.11,5.87,7.36,5.62,22,0.35,26
2022-01-09,Southwest,6,1,1,0,86.47,0.02,7.64,8.46,2.83,22,0.75,23
2022-01-10,Mountain West,0,1,0,0,56.87,0.52,14.29,7.68,4.97,14,0.85,21
2022-01-10,Midwest,0,1,0,0,61.94,0.0,12.6,11.07,4.84,20,0.65,26
2022-01-10,Southeast,0,1,0,0,79.34,0.15,10.49,6.45,5.04,24,0.55,27
2022-01-10,Northeast,0,1,0,0,70.92,0.0,14.36,8.37,8.28,18,0.35,25
2022-01-10,Southwest,0,1,0,0,72.26,0.02,6.2,8.3,5.51,21,0.75,30
2022-01-11,Mountain West,1,1,0,0,49.61,0.27,3.4,11.66,6.77,26,0.85,29
2022-01-11,Midwest,1,1,0,0,59.31,0.46,2.03,6.8,5.01,29,0.65,27
2022-01-11,Southeast,1,1,0,0,71.59,0.11,10.6,9.03,6.07,24,0.55,25
2022-01-11,Northeast,1,1,0,0,59.99,0.0,17.76,8.23,6.77,21,0.35,26
2022-01-11,Southwest,1,1,0,0,83.51,0.39,13.23,10.74,3.55,18,0.75,24
2022-01-12,Mountain West,2,1,0,0,61.35,0.0,4.08,3.92,4.6,25,0.85,28
2022-01-12,Midwest,2,1,0,0,69.77,0.0,1.48,7.89,5.58,23,0.65,27
2022-01-12,Southeast,2,1,0,0,70.17,0.32,11.83,6.12,4.23,29,0.55,24
2022-01-12,Northeast,2,1,0,0,52.09,0.28,7.35,6.41,4.84,16,0.35,19
2022-01-12,Southwest,2,1,0,0,96.79,0.16,6.5,8.43,4.83,29,0.75,28
2022-01-13,Mountain West,3,1,0,0,51.82,0.01,8.62,3.4,2.73,24,0.85,27
2022-01-13,Midwest,3,1,0,0,63.46,0.23,25.39,10.24,4.81,24,0.65,23
2022-01-13,Southeast,3,1,0,0,73.46,0.0,6.77,5.84,7.53,27,0.55,32
2022-01-13,Northeast,3,1,0,0,58.46,0.0,17.62,9.08,3.44,18,0.35,20
2022-01-13,Southwest,3,1,0,0,90.56,0.63,3.01,9.13,4.02,19,0.75,22
2022-01-14,Mountain West,4,1,0,0,55.29,0.0,11.35,7.9,4.64,30,0.85,28
2022-01-14,Midwest,4,1,0,0,63.01,0.0,10.5,9.5,2.5,27,0.65,26
2022-01-14,Southeast,4,1,0,0,73.42,0.0,1.86,8.1,5.39,19,0.55,23
2022-01-14,Northeast,4,1,0,0,57.6,0.0,6.74,8.09,3.71,18,0.35,21
2022-01-14,Southwest,4,1,0,0,90.01,0.0,12.65,10.88,1.29,22,0.75,20
2022-01-15,Mountain West,5,1,1,0,57.23,0.0,10.43,7.69,6.75,20,0.85,31
2022-01-15,Midwest,5,1,1,0,62.37,0.04,11.45,12.15,6.31,22,0.65,29
2022-01-15,Southeast,5,1,1,0,65.77,0.0,0.65,7.3,5.03,21,0.55,30
2022-01-15,Northeast,5,1,1,0,59.41,0.34,2.61,10.29,5.51,22,0.35,25
2022-01-15,Southwest,5,1,1,0,86.09,0.21,7.7,6.3,6.25,22,0.75,28
2022-01-16,Mountain West,6,1,1,0,53.38,0.0,7.78,8.75,6.14,28,0.85,31
2022-01-16,Midwest,6,1,1,0,62.48,0.62,6.13,5.51,2.33,23,0.65,27
2022-01-16,Southeast,6,1,1,0,79.68,0.0,22.23,8.26,5.16,25,0.55,29
2022-01-16,Northeast,6,1,1,0,69.29,0.49,17.97,6.98,3.52,15,0.35,20
2022-01-16,Southwest,6,1,1,0,85.33,0.42,1.54,11.06,4.76,29,0.75,29
2022-01-17,Mountain West,0,1,0,0,48.93,0.0,14.12,8.15,3.07,28,0.85,24
2022-01-17,Midwest,0,1,0,0,58.44,0.0,8.77,7.45,0.95,31,0.65,24
2022-01-17,Southeast,0,1,0,0,89.09,0.43,8.66,5.79,8.86,18,0.55,28
2022-01-17,Northeast,0,1,0,0,57.8,0.01,6.44,8.21,4.62,21,0.35,27
2022-01-17,Southwest,0,1,0,0,92.48,0.0,8.29,7.26,2.89,26,0.75,24
2022-01-18,Mountain West,1,1,0,0,60.61,0.47,13.61,5.74,4.21,27,0.85,28
2022-01-18,Midwest,1,1,0,0,58.56,0.06,13.55,8.89,4.46,26,0.65,29
2022-01-18,Southeast,1,1,0,0,81.56,0.07,11.63,5.5,6.39,27,0.55,28
2022-01-18,Northeast,1,1,0,0,53.77,0.0,2.22,9.21,3.08,21,0.35,25
2022-01-18,Southwest,1,1,0,0,86.27,0.13,7.28,8.8,4.94,31,0.75,31
2022-01-19,Mountain West,2,1,0,0,52.82,0.14,11.54,4.58,2.98,19,0.85,24
2022-01-19,Midwest,2,1,0,0,61.18,0.0,12.04,4.59,6.54,19,0.65,27
2022-01-19,Southeast,2,1,0,0,79.54,0.4,18.33,10.03,2.24,23,0.55,19
2022-01-19,Northeast,2,1,0,0,61.11,0.0,10.93,6.49,4.08,18,0.35,19
2022-01-19,Southwest,2,1,0,0,79.14,0.41,5.25,13.26,5.74,28,0.75,29
2022-01-20,Mountain West,3,1,0,0,51.55,0.18,22.8,7.81,6.72,17,0.85,24
2022-01-20,Midwest,3,1,0,0,59.79,0.59,6.87,11.62,6.06,28,0.65,27
2022-01-20,Southeast,3,1,0,0,81.73,0.0,6.36,7.5,4.89,17,0.55,25
2022-01-20,Northeast,3,1,0,0,60.28,0.3,12.8,10.16,6.25,17,0.35,24
2022-01-20,Southwest,3,1,0,0,87.58,0.2,11.36,5.45,3.38,34,0.75,30
2022-01-21,Mountain West,4,1,0,0,55.17,0.16,14.69,6.97,5.14,20,0.85,25
2022-01-21,Midwest,4,1,0,0,61.33,0.03,16.28,6.21,4.72,24,0.65,25
2022-01-21,Southeast,4,1,0,0,84.19,0.0,11.34,9.78,5.12,26,0.55,29
2022-01-21,Northeast,4,1,0,0,71.79,0.06,7.77,10.91,7.37,17,0.35,24
2022-01-21,Southwest,4,1,0,0,76.93,0.0,4.98,6.46,4.95,22,0.75,27
2022-01-22,Mountain West,5,1,1,0,60.91,0.1,9.75,9.35,3.32,35,0.85,32
2022-01-22,Midwest,5,1,1,0,61.74,0.76,6.81,6.94,4.07,27,0.65,26
2022-01-22,Southeast,5,1,1,0,86.52,0.01,5.84,8.94,4.17,18,0.55,26
2022-01-22,Northeast,5,1,1,0,67.29,0.6,6.94,7.22,5.43,23,0.35,27
2022-01-22,Southwest,5,1,1,0,83.94,0.0,3.1,6.54,4.95,16,0.75,30
